bcwID,CDCID,strainID,Serotype
BCW_4033,A20a,A20a,H6 Standard Strain
BCW_4034,AP 320c,AP320c,H8 Standard Strain
BCW_4035,Bi 7575-41,Bi7575-41,H9 Standard Strain
BCW_4036,Su 4321-41,Su4321-41,H11 Standard Strain
BCW_4037,A 18d,A18d,H19 Standard Strain
BCW_4038,HW26,HW26,H25 Standard Strain
BCW_4039,HW28,HW28,H27 Standard Strain
BCW_4040,HW33,HW33,H31 Standard Strain
BCW_4041,HW35,HW35,H33 Standard Strain
BCW_4042,BP 12665,BP12665,H34 Standard Strain
BCW_4043,5017-53,5017-53,H36 Standard Strain
BCW_4044,P9c,P9c,H42 Standard Strain
BCW_4045,781-55,781-55,H44 Standard Strain
BCW_4046,4106-54,4106-54,H45 Standard Strain
BCW_4047,5306-56,5306-56,H46 Standard Strain
BCW_4048,1755-58,1755-58,H47 Standard Strain
BCW_4049,2147-59,2147-59,H49 Standard Strain
BCW_4050,C2187-84,C2187-84,H52 Standard Strain
BCW_4051,E408/68,E408-68,H53 Standard Strain
BCW_4052,E223/69,E223-69,H54 Standard Strain
BCW_4053,E2987-73,E2987-73,H55 Standard Strain
BCW_4054,U 5-41,U5-41,O1.H7 Standard Strain
BCW_4055,U 9-41,U9-41,O2.H4 Standard Strain
BCW_4056,U 14-41,U14-41,O3 Standard Strain
BCW_4057,U 4-41,U4-41,O4.H5 Standard Strain
BCW_4058,U 1-41,U1-41,O5 Standard Strain
BCW_4059,Bi 7458-41,Bi7458-41,O6 Standard Strain
BCW_4060,Bi 7509-41,Bi7509-41,O7 Standard Strain
BCW_4061,G 3404-41,G3404-41,O8 Standard Strain
BCW_4062,Bi 316-42,Bi316-42,O9.H12 Standard Strain
BCW_4063,Bi 623-42,Bi623-42,O11 Standard Strain
BCW_4064,Bi 626-42,Bi626-42,O12 Standard Strain
BCW_4065,Su 4411-41,Su4411-41,O14 Standard Strain
BCW_4066,F 7902-41,F7902-41,O15 Standard Strain
BCW_4067,F 11119-41,F11119-41,O16 Standard Strain
BCW_4068,K 12a,K12a,O17.H18 Standard Strain
