WGSID	OUTBREAK
2011L-2786	1702MLGX6-1
2011L-3019	1702MLGX6-1
PNUSAL001896	1702MLGX6-1
PNUSAL002203	1702MLGX6-1
PNUSAL002254	1702MLGX6-1
PNUSAL002699	1702MLGX6-1
PNUSAL002701	1702MLGX6-1
PNUSAL002831	1702MLGX6-1
PNUSAL002896	1702MLGX6-1
PNUSAL002967	1702MLGX6-1
PNUSAL003158	1702MLGX6-1
PNUSAL003285	1702MLGX6-1
PNUSAL003312	1702MLGX6-1
PNUSAL003458	1702MLGX6-1
PNUSAL003474	1702MLGX6-1
PNUSAL003542	1702MLGX6-1
PNUSAL003590	1702MLGX6-1
PNUSAL003596	1702MLGX6-1
PNUSAL003657	1702MLGX6-1
PNUSAL003661	1702MLGX6-1
PNUSAL003737	1702MLGX6-1
PNUSAL003784	1702MLGX6-1
PNUSAL003786	1702MLGX6-1
PNUSAL003820	1702MLGX6-1
PNUSAL003828	1702MLGX6-1
PNUSAL003872	1702MLGX6-1
PNUSAL003917	1702MLGX6-1
2017K-0101	1703MLJJP-1WGS
2017K-0171	1703MLJJP-1WGS
2017K-0535	1703MLJJP-1WGS
2017K-0544	1703MLJJP-1WGS
2017K-0605	1703MLJJP-1WGS
2017K-0652	1703MLJJP-1WGS
2017K-0677	1703MLJJP-1WGS
2017K-0711	1703MLJJP-1WGS
PNUSAS007840	1703MLJJP-1WGS
PNUSAS008184	1703MLJJP-1WGS
PNUSAS008571	1703MLJJP-1WGS
PNUSAS009304	1703MLJJP-1WGS
PNUSAS011745	1703MLJJP-1WGS
PNUSAS013394	1703MLJJP-1WGS
PNUSAS013395	1703MLJJP-1WGS
PNUSAS013650	1703MLJJP-1WGS
PNUSAS014862	1703MLJJP-1WGS
PNUSAS015018	1703MLJJP-1WGS
PNUSAS015083	1703MLJJP-1WGS
PNUSAS015084	1703MLJJP-1WGS
PNUSAS015085	1703MLJJP-1WGS
PNUSAS015086	1703MLJJP-1WGS
PNUSAS015293	1703MLJJP-1WGS
PNUSAS015340	1703MLJJP-1WGS
PNUSAS015345	1703MLJJP-1WGS
PNUSAS015410	1703MLJJP-1WGS
PNUSAS015426	1703MLJJP-1WGS
PNUSAS016198	1703MLJJP-1WGS
PNUSAS016275	1703MLJJP-1WGS
PNUSAS016691	1703MLJJP-1WGS
PNUSAS016692	1703MLJJP-1WGS
PNUSAS016693	1703MLJJP-1WGS
PNUSAS016694	1703MLJJP-1WGS
PNUSAS016836	1703MLJJP-1WGS
PNUSAS017088	1703MLJJP-1WGS
PNUSAS017089	1703MLJJP-1WGS
PNUSAS017090	1703MLJJP-1WGS
PNUSAS017091	1703MLJJP-1WGS
PNUSAS017092	1703MLJJP-1WGS
PNUSAS017093	1703MLJJP-1WGS
PNUSAS017094	1703MLJJP-1WGS
PNUSAS017095	1703MLJJP-1WGS
PNUSAS017294	1703MLJJP-1WGS
PNUSAS017296	1703MLJJP-1WGS
PNUSAS019047	1703MLJJP-1WGS
PNUSAS019049	1703MLJJP-1WGS
PNUSAS019050	1703MLJJP-1WGS
PNUSAS020116	1703MLJJP-1WGS
PNUSAS020117	1703MLJJP-1WGS
PNUSAS020121	1703MLJJP-1WGS
PNUSAS020703	1703MLJJP-1WGS
2017K-0618	1704MLTDK-1
2017K-0678	1704MLTDK-1
2017K-0710	1704MLTDK-1
2017K-0712	1704MLTDK-1
APHI_17-3741	1704MLTDK-1
APHI_17-3742	1704MLTDK-1
CFSAN067400	1704MLTDK-1
FSIS11703971	1704MLTDK-1
FSIS11703972	1704MLTDK-1
FSIS1700026	1704MLTDK-1
FSIS1701209	1704MLTDK-1
FSIS1701697	1704MLTDK-1
FSIS1701740	1704MLTDK-1
FSIS1702157	1704MLTDK-1
FSIS1702285	1704MLTDK-1
FSIS1702433	1704MLTDK-1
FSIS1702456	1704MLTDK-1
FSIS1702947	1704MLTDK-1
FSIS1702992	1704MLTDK-1
FSIS1703103	1704MLTDK-1
FSIS1703450	1704MLTDK-1
FSIS1703506	1704MLTDK-1
FSIS1703680	1704MLTDK-1
FSIS1703791	1704MLTDK-1
PNUSAS010138	1704MLTDK-1
PNUSAS010368	1704MLTDK-1
PNUSAS010427	1704MLTDK-1
PNUSAS010560	1704MLTDK-1
PNUSAS010709	1704MLTDK-1
PNUSAS010728	1704MLTDK-1
PNUSAS010944	1704MLTDK-1
PNUSAS011028	1704MLTDK-1
PNUSAS011081	1704MLTDK-1
PNUSAS011275	1704MLTDK-1
PNUSAS011277	1704MLTDK-1
PNUSAS011280	1704MLTDK-1
PNUSAS011296	1704MLTDK-1
PNUSAS011357	1704MLTDK-1
PNUSAS011478	1704MLTDK-1
PNUSAS011505	1704MLTDK-1
PNUSAS011512	1704MLTDK-1
PNUSAS011521	1704MLTDK-1
PNUSAS011598	1704MLTDK-1
PNUSAS011712	1704MLTDK-1
PNUSAS011715	1704MLTDK-1
PNUSAS011716	1704MLTDK-1
PNUSAS011717	1704MLTDK-1
PNUSAS011952	1704MLTDK-1
PNUSAS011982	1704MLTDK-1
PNUSAS011983	1704MLTDK-1
PNUSAS012030	1704MLTDK-1
PNUSAS012034	1704MLTDK-1
PNUSAS012039	1704MLTDK-1
PNUSAS012135	1704MLTDK-1
PNUSAS012141	1704MLTDK-1
PNUSAS012157	1704MLTDK-1
